Fiscal Year,Product Classification,Total
2012,Class I,125
2012,Class II,2604
2012,Class III,654
2013,Class I,256
2013,Class II,4731
2013,Class III,892
2014,Class I,710
2014,Class II,4374
2014,Class III,498
2015,Class I,183
2015,Class II,4703
2015,Class III,539
2016,Class I,247
2016,Class II,4538
2016,Class III,527
2017,Class I,120
2017,Class II,3908
2017,Class III,542
2018,Class I,245
2018,Class II,5218
2018,Class III,524
2019,Class I,887
2019,Class II,4321
2019,Class III,642
2020,Class I,291
2020,Class II,4036
2020,Class III,437
2021,Class I,321
2021,Class II,3259
2021,Class III,340
2022,Class I,253
2022,Class II,3399
2022,Class III,256
2023,Class I,574
2023,Class II,3591
2023,Class III,246
2024,Class I,319
2024,Class II,1756
2024,Class III,144
