Fiscal Year,Event Classification,Total
2012,Class I,63
2012,Class II,1394
2012,Class III,463
2013,Class I,121
2013,Class II,2344
2013,Class III,554
2014,Class I,138
2014,Class II,1821
2014,Class III,331
2015,Class I,83
2015,Class II,1623
2015,Class III,310
2016,Class I,100
2016,Class II,1671
2016,Class III,366
2017,Class I,76
2017,Class II,1487
2017,Class III,357
2018,Class I,90
2018,Class II,1827
2018,Class III,371
2019,Class I,95
2019,Class II,1419
2019,Class III,480
2020,Class I,91
2020,Class II,1542
2020,Class III,342
2021,Class I,133
2021,Class II,1270
2021,Class III,214
2022,Class I,125
2022,Class II,1245
2022,Class III,163
2023,Class I,125
2023,Class II,1315
2023,Class III,199
2024,Class I,88
2024,Class II,683
2024,Class III,84
